country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Norway,NOR,12/28/2020,606,606,,601,601,0.01,0.01,,111,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,12/28/2020,1717,1717,,,,0.03,0.03,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,12/28/2020,2000,2000,,,,0.01,0.01,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,12/28/2020,4828,4828,,,,0.05,0.05,,,"Moderna, Pfizer/BioNTech"
Qatar,QAT,12/28/2020,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,12/28/2020,2066,2066,,,,0.01,0.01,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/28/2020,,,,,58765,,,,403,Sputnik V
Scotland,,12/28/2020,,,,,4649,,,,851,"Oxford/AstraZeneca, Pfizer/BioNTech"
Slovenia,SVN,12/28/2020,7367,7367,,1548,1548,0.35,0.35,,745,"Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,12/28/2020,,,,,1756,,,,174,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/28/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/28/2020,,,,,48383,,,,713,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/28/2020,2127143,2127143,,,216147,0.64,0.64,,646,"Moderna, Pfizer/BioNTech"
Wales,,12/28/2020,,,,,1811,,,,574,"Oxford/AstraZeneca, Pfizer/BioNTech"
Argentina,ARG,12/29/2020,700,,,,,0,,,,Sputnik V
Bahrain,BHR,12/29/2020,56041,56041,,1027,2846,3.29,3.29,,1673,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,12/29/2020,298,298,,1,1,0,0,,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,BGR,12/29/2020,1719,1719,,,,0.02,0.02,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,CYM,12/29/2020,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,12/29/2020,8650,8650,,0,1646,0.05,0.05,,86,"Pfizer/BioNTech, Sinovac"
China,CHN,12/29/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/29/2020,,,,,240,,,,47,Pfizer/BioNTech
Czechia,CZE,12/29/2020,7001,7001,,3460,2872,0.07,0.07,,268,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,12/29/2020,17439,17439,,8960,5474,0.3,0.3,,945,"Moderna, Pfizer/BioNTech"
England,,12/29/2020,,,,,41547,,,,738,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,12/29/2020,516,,,309,309,0.04,,,233,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,12/29/2020,138,138,,86,62,0,0,,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,12/29/2020,84516,84516,,42445,30544,0.1,0.1,,365,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Greece,GRC,12/29/2020,1077,1077,,630,630,0.01,0.01,,60,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,12/29/2020,2461,,,1367,1367,0.03,,,142,Pfizer/BioNTech
Israel,ISR,12/29/2020,679647,679647,,156217,86116,7.85,7.85,,9949,"Moderna, Pfizer/BioNTech"
Italy,ITA,12/29/2020,8912,8912,,927,950,0.01,0.01,,16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,12/29/2020,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,12/29/2020,,1472,,,,,0.08,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,12/29/2020,8189,8189,,2986,2886,0.3,0.3,,1060,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,12/29/2020,18529,18529,,8950,3121,0.01,0.01,,24,Pfizer/BioNTech
Northern Ireland,,12/29/2020,,,,,1972,,,,1041,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,12/29/2020,1674,1674,,1068,834,0.03,0.03,,154,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,12/29/2020,3363,3363,,1646,1646,0.07,0.07,,322,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,12/29/2020,6300,6300,,4300,4300,0.02,0.02,,114,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,12/29/2020,16701,16701,,11873,11873,0.16,0.16,,1164,"Moderna, Pfizer/BioNTech"
Qatar,QAT,12/29/2020,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,12/29/2020,2778,2778,,712,712,0.01,0.01,,37,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/29/2020,,,,,68000,,,,466,Sputnik V
Scotland,,12/29/2020,,,,,4383,,,,802,"Oxford/AstraZeneca, Pfizer/BioNTech"
Slovenia,SVN,12/29/2020,8470,8470,,1103,1326,0.41,0.41,,638,"Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,12/29/2020,,,,,1756,,,,174,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/29/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/29/2020,,,,,49747,,,,733,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/29/2020,,,,,235685,,,,705,"Moderna, Pfizer/BioNTech"
Wales,,12/29/2020,,,,,1845,,,,585,"Oxford/AstraZeneca, Pfizer/BioNTech"
Argentina,ARG,12/30/2020,,,,,15656,,,,346,Sputnik V
Bahrain,BHR,12/30/2020,57317,57317,,1276,2622,3.37,3.37,,1541,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,12/30/2020,777,777,,479,240,0.01,0.01,,21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,BGR,12/30/2020,4608,4608,,2889,2889,0.07,0.07,,416,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,CYM,12/30/2020,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,12/30/2020,8650,8650,,0,1372,0.05,0.05,,72,"Pfizer/BioNTech, Sinovac"
China,CHN,12/30/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/30/2020,,,,,240,,,,47,Pfizer/BioNTech
Croatia,HRV,12/30/2020,7864,7864,,,,0.19,0.19,,,Pfizer/BioNTech
Czechia,CZE,12/30/2020,10467,10467,,3466,3070,0.1,0.1,,287,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,12/30/2020,28916,28916,,11477,7475,0.5,0.5,,1291,"Moderna, Pfizer/BioNTech"
England,,12/30/2020,,,,,43225,,,,768,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,12/30/2020,884,,,368,338,0.07,,,255,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,12/30/2020,237,237,,99,75,0,0,,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,12/30/2020,142212,142212,,57696,39594,0.17,0.17,,473,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
